Fiscal Year,Department,Amount
2023,Dept of Administrative Svcs,709377240.91
2023,Dept of Emrg Svc & Public Prot,397947907.35
2023,Dept of Energy & Environ Prot.,256313310.86
2023,Dept. of Agriculture,20428135.34
2023,Dept. of Banking,1464011.95
2023,Dept. of Children and Families,549148370.65
2023,Dept. of Consumer Protection,4581694.58
2023,Dept. of Correction,277676142.82
2023,Dept. of Insurance,2037071.64
2023,Dept. of Labor,790515909.41
2023,Dept. of Motor Vehicles,35712359.47
2023,Dept. of Public Health,311487801.6
2023,Dept. of Revenue Services,244860930.23000002
2023,Dept. of Social Services,10031888399.57
2023,Dept. of Transportation,2467357597.4
2023,Dept. of Veterans' Affairs,8750286.97
2023,Division of Criminal Justice,6520247.76
2023,Econ. & Community Development,282963173.15
2023,Elections Enforcement,21224304.86
2023,Freedom of Information,124397.39
2023,Governor's Office,18046738.52
2023,Human Rights & Opportunities,1015074.34
2023,Judicial Branch,266629705.28
2023,Legislative Management,22634157.57
2023,Lieutenant Governor's Office,26402.5
2023,Mental Health & Addiction Serv,577806729.65
2023,Military Dept.,20767575.36
2023,Off of the Healthcare Advocate,250074.15
2023,Office of Early Childhood,592703145.41
2023,Office of Govt. Accountability,200581.62
2023,Office of Health Strategy,28613163.5
2023,Office of Higher Education,81849324.56
2023,Office of Policy & Management,1248947762.34
2023,Office of State Ethics,129059.08
2023,Office of the State Treasurer,2739657421.44
2023,Paid Family Medical Leave Auth,329070947.53000003
2023,Probate Court Administration,44340059.63
2023,Public Defender Services,25441313.49
2023,Renters Rebate,24414580.68
2023,Secretary of the State,8441149.2
2023,State Comptroller's Office,2621764278.99
2023,State Dept of Education,4202827880.61
2023,Teachers' Retirement Board,2457296759.82
2023,UConn Health Center,553000000.0
2023,Worker's Compensation Commiss.,2834140.47
2024,Aging and Disability Services,46448225.33
2024,Agricultural Experiment Sta,2543538.29
2024,Attorney General's Office,2769414.98
2024,Auditors of Public Accounts,260439.19
2024,CT Airport Authority (OPS),3492974.3
2024,CT Housing & Fin. Authority,142253339.58
2024,CT Port Authority,32462178.15
2024,CT Tech Educ and Career Sys,42850136.68
2024,Capital Reg Dev Authority,26475000.0
2024,Chief Medical Examiner's Offc,1516562.5
2024,Comm. Women Children & Seniors,19299.72
2024,Connecticut State Library,5117506.47
2024,Connecticut State Universities,718755577.09
2024,DAS - Information Technology,10860428.31
2024,Department of Development Serv,766732231.78
2024,Department of Housing,313710511.44
2024,Dept of Administrative Svcs,473754091.35
2024,Dept of Emrg Svc & Public Prot,304779874.69
2024,Dept of Energy & Environ Prot.,153250016.26
2024,Dept. of Agriculture,17826510.31
2024,Dept. of Banking,792291.15
2024,Dept. of Children and Families,364658288.26
2024,Dept. of Consumer Protection,1729159.57
2024,Dept. of Correction,143268596.47
2024,Dept. of Insurance,1130967.72
2024,Dept. of Labor,285136623.1
2024,Dept. of Motor Vehicles,14009171.1
2024,Dept. of Public Health,134906096.93
2024,Dept. of Revenue Services,11871261.04
2024,Dept. of Social Services,6821167552.73
2024,Dept. of Transportation,1865269161.39
2024,Dept. of Veterans' Affairs,5867466.06
2024,Division of Criminal Justice,3635184.39
2024,Econ. & Community Development,159641265.73
2024,Elections Enforcement,91595.7
2024,Freedom of Information,79626.06999999999
2024,Governor's Office,295797.14
2024,Human Rights & Opportunities,1203000.9
2024,Judicial Branch,176955330.7
2024,Legislative Management,14084674.24
2024,Lieutenant Governor's Office,16811.38
2024,Mental Health & Addiction Serv,449316468.37
2024,Military Dept.,15878325.15
2024,Off of the Healthcare Advocate,162010.88
2024,Office of Early Childhood,299177470.5
2024,Office of Govt. Accountability,97754.3
2024,Office of Health Strategy,18928627.04
2024,Office of Higher Education,60252689.92
2024,Office of Policy & Management,722352880.43
2024,Office of State Ethics,51877.29
2024,Office of the State Treasurer,1637598576.66
2024,Paid Family Medical Leave Auth,254734996.82
2024,Probate Court Administration,28229206.73
2024,Public Defender Services,21000846.02
2024,Renters Rebate,24526010.14
2024,Secretary of the State,7093197.33
2024,State Comptroller's Office,1568641942.48
2024,State Dept of Education,2059105312.06
2024,Teachers' Retirement Board,1462919121.97
2024,UConn Health Center,398000000.0
2024,Worker's Compensation Commiss.,1601213.75
